plot_id,tree_id,tree_sp,dbh,height,diameter_class,tree_Factor,SI_spp,SI_m,n_tree,species,Period,coord_x,coord_y,year,volsum,vol_spruce,vol_pine,vol_birch,vol_others,vol_ROS,vol_warm,management
B07129,61135179,3,50.0,41.78976582884769,5,40.0,1,11,40.0,spruce,0,8.34044009405148,14.406489868843162,2019,0.1312864213231457,0.1312864213231457,0.0,0.0,0.0,0.0,0.0,none
B07129,61135179,3,64.0,56,5,40.0,1,11,38.71960938356546,spruce,1,8.34044009405148,14.406489868843162,2024,0.4247473002864617,0.4247473002864617,0,0,0,0,0,none
B07129,61135179,3,78.0,68,5,40.0,1,11,37.44202748378341,spruce,2,8.34044009405148,14.406489868843162,2029,0.7008780433373183,0.7008780433373183,0,0,0,0,0,none
B07129,61135179,3,93.0,79,5,40.0,1,11,36.19096157905054,spruce,3,8.34044009405148,14.406489868843162,2034,1.076309082711021,1.076309082711021,0,0,0,0,0,none
B07129,61135179,3,108.0,89,10,40.0,1,11,34.936062848396645,spruce,4,8.34044009405148,14.406489868843162,2039,1.5917448355697528,1.5917448355697528,0,0,0,0,0,none
B07129,61135179,3,123.0,99,10,40.0,1,11,33.67340262138002,spruce,5,8.34044009405148,14.406489868843162,2044,2.1918328504415654,2.1918328504415654,0,0,0,0,0,none
B07129,61135179,3,138.0,108,10,40.0,1,11,32.415331126986125,spruce,6,8.34044009405148,14.406489868843162,2049,2.786869423449211,2.786869423449211,0,0,0,0,0,none
B07129,61135179,3,153.0,117,15,40.0,1,11,31.20512008107753,spruce,7,8.34044009405148,14.406489868843162,2054,3.4556637973103372,3.4556637973103372,0,0,0,0,0,none
B07129,61135179,3,168.0,125,15,40.0,1,11,0.0,spruce,8,8.34044009405148,14.406489868843162,2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clear cut
B07129,15859294,3,50.002,41.80666393689659,5,40.0,1,11,1426.6666666666665,spruce,1,19.15779060301004,10.663305699460341,2024,7.942372819531211,7.942372819531211,0,0,0,0,0,none
B07129,15859294,3,62.002,48,5,40.0,1,11,1367.8886761143317,spruce,2,19.15779060301004,10.663305699460341,2029,12.359883341414879,12.359883341414879,0,0,0,0,0,none
B07129,15859294,3,76.00200000000001,57,5,40.0,1,11,1309.7335018669348,spruce,3,19.15779060301004,10.663305699460341,2034,19.72291671442064,19.72291671442064,0,0,0,0,0,none
B07129,15859294,3,90.00200000000001,65,5,40.0,1,11,1251.9716055943968,spruce,4,19.15779060301004,10.663305699460341,2039,28.775933189338172,28.775933189338172,0,0,0,0,0,none
B07129,15859294,3,105.00200000000001,73,10,40.0,1,11,1194.549648143933,spruce,5,19.15779060301004,10.663305699460341,2044,41.95920485567689,41.95920485567689,0,0,0,0,0,none
B07129,15859294,3,120.00200000000001,81,10,40.0,1,11,1138.8497964496792,spruce,6,19.15779060301004,10.663305699460341,2049,58.757519836071296,58.757519836071296,0,0,0,0,0,none
B07129,15859294,3,135.002,89,10,40.0,1,11,1086.6453361661786,spruce,7,19.15779060301004,10.663305699460341,2054,75.09257953639876,75.09257953639876,0,0,0,0,0,none
B07129,15859294,3,150.002,96,15,40.0,1,11,0.0,spruce,8,19.15779060301004,10.663305699460341,2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clear cut
B07129,99258921,3,50.003,41.763404164479525,5,40.0,1,11,1426.6666666666665,spruce,1,13.730018553631673,16.692513437947458,2024,7.936137523833795,7.936137523833795,0,0,0,0,0,none
B07129,99258921,3,61.003,48,5,40.0,1,11,1365.5398216417357,spruce,2,13.730018553631673,16.692513437947458,2029,11.999631832041596,11.999631832041596,0,0,0,0,0,none
B07129,99258921,3,72.003,54,5,40.0,1,11,1303.356507028918,spruce,3,13.730018553631673,16.692513437947458,2034,16.975655148740543,16.975655148740543,0,0,0,0,0,none
B07129,99258921,3,83.003,61,5,40.0,1,11,1238.703829219903,spruce,4,13.730018553631673,16.692513437947458,2039,23.2183903525409,23.2183903525409,0,0,0,0,0,none
B07129,99258921,3,94.003,68,5,40.0,1,11,1171.6449696499926,spruce,5,13.730018553631673,16.692513437947458,2044,30.407624637447544,30.407624637447544,0,0,0,0,0,none
B07129,99258921,3,104.003,75,10,40.0,1,11,1103.8285637900026,spruce,6,13.730018553631673,16.692513437947458,2049,38.94820950056146,38.94820950056146,0,0,0,0,0,none
B07129,99258921,3,113.003,81,10,40.0,1,11,1037.3799789636553,spruce,7,13.730018553631673,16.692513437947458,2054,47.417598546316654,47.417598546316654,0,0,0,0,0,none
B07129,99258921,3,121.003,87,10,40.0,1,11,0.0,spruce,8,13.730018553631673,16.692513437947458,2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clear cut
B07129,38743270,3,50.004,41.79867010422831,5,40.0,1,11,1426.6666666666665,spruce,1,2.0645201315528405,8.957870523518103,2024,7.9417116205488085,7.9417116205488085,0,0,0,0,0,none
B07129,38743270,3,61.004,48,5,40.0,1,11,1363.3609578611308,spruce,2,2.0645201315528405,8.957870523518103,2029,11.980822401650885,11.980822401650885,0,0,0,0,0,none
B07129,38743270,3,71.00399999999999,54,5,40.0,1,11,1298.8314096394483,spruce,3,2.0645201315528405,8.957870523518103,2034,16.51411563939596,16.51411563939596,0,0,0,0,0,none
B07129,38743270,3,80.00399999999999,60,5,40.0,1,11,1230.7322443037804,spruce,4,2.0645201315528405,8.957870523518103,2039,21.294348517671157,21.294348517671157,0,0,0,0,0,none
B07129,38743270,3,88.00399999999999,65,5,40.0,1,11,1158.3130201299482,spruce,5,2.0645201315528405,8.957870523518103,2044,25.608145549670652,25.608145549670652,0,0,0,0,0,none
B07129,38743270,3,95.00399999999999,70,5,40.0,1,11,1083.0340090773302,spruce,6,2.0645201315528405,8.957870523518103,2049,29.49774509925798,29.49774509925798,0,0,0,0,0,none
B07129,38743270,3,100.00399999999999,75,10,40.0,1,11,1007.7164318580515,spruce,7,2.0645201315528405,8.957870523518103,2054,32.32699493626736,32.32699493626736,0,0,0,0,0,none
B07129,38743270,3,104.00399999999999,80,10,40.0,1,11,0.0,spruce,8,2.0645201315528405,8.957870523518103,2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clear cut
B07129,98984144,3,50.005,41.809762040607765,5,40.0,1,11,626.6666666666666,spruce,2,13.888003154554902,8.283585390538054,2029,3.489266840098397,3.489266840098397,0,0,0,0,0,none
B07129,98984144,3,57.005,45,5,40.0,1,11,590.2500850692804,spruce,3,13.888003154554902,8.283585390538054,2034,4.365808548838971,4.365808548838971,0,0,0,0,0,none
B07129,98984144,3,62.005,48,5,40.0,1,11,550.9202546920901,spruce,4,13.888003154554902,8.283585390538054,2039,4.978383597938402,4.978383597938402,0,0,0,0,0,none
B07129,98984144,3,66.005,51,5,40.0,1,11,507.8603068996095,spruce,5,13.888003154554902,8.283585390538054,2044,5.398162778897971,5.398162778897971,0,0,0,0,0,none
B07129,98984144,3,68.005,54,5,40.0,1,11,462.2220355172197,spruce,6,13.888003154554902,8.283585390538054,2049,5.454042296783032,5.454042296783032,0,0,0,0,0,none
B07129,98984144,3,69.005,57,5,40.0,1,11,415.58361419781716,spruce,7,13.888003154554902,8.283585390538054,2054,5.290541484682401,5.290541484682401,0,0,0,0,0,none
B07129,98984144,3,68.005,59,5,40.0,1,11,369.660785455187,spruce,8,13.888003154554902,8.283585390538054,2059,4.73665779974965,4.73665779974965,0,0,0,0,0,clear cut
B07129,98984144,3,82.005,66,5,40.0,1,11,356.693554538227,spruce,9,13.888003154554902,8.283585390538054,2064,7.080833719636188,7.080833719636188,0,0,0,0,0,none
B07129,98984144,3,96.005,72,5,40.0,1,11,343.80606876212306,spruce,10,13.888003154554902,8.283585390538054,2069,9.818332197508733,9.818332197508733,0,0,0,0,0,none
B07129,98984144,3,110.005,78,10,40.0,1,11,330.88638599648425,spruce,11,13.888003154554902,8.283585390538054,2074,13.777617307193276,13.777617307193276,0,0,0,0,0,none
B07129,98984144,3,124.005,83,10,40.0,1,11,316.7274413760629,spruce,12,13.888003154554902,8.283585390538054,2079,17.79374804038088,17.79374804038088,0,0,0,0,0,none
B07129,98984144,3,138.005,88,10,40.0,1,11,303.42035729701377,spruce,13,13.888003154554902,8.283585390538054,2084,21.472138126046914,21.472138126046914,0,0,0,0,0,none
B07129,98984144,3,152.005,93,15,40.0,1,11,291.32965977884595,spruce,14,13.888003154554902,8.283585390538054,2089,25.25754577205106,25.25754577205106,0,0,0,0,0,none
B07129,98984144,3,166.005,97,15,40.0,1,11,280.61722689763053,spruce,15,13.888003154554902,8.283585390538054,2094,29.116522039358006,29.116522039358006,0,0,0,0,0,none
B07129,98984144,3,182.005,101,15,40.0,1,11,271.1838105519701,spruce,16,13.888003154554902,8.283585390538054,2099,33.876089739175065,33.876089739175065,0,0,0,0,0,none
B07129,98984144,3,198.005,105,15,40.0,1,11,263.00763811970205,spruce,17,13.888003154554902,8.283585390538054,2104,39.06598828096934,39.06598828096934,0,0,0,0,0,none
B07129,98984144,3,214.005,109,20,40.0,1,11,255.83973994373144,spruce,18,13.888003154554902,8.283585390538054,2109,44.70332207536157,44.70332207536157,0,0,0,0,0,none
B07129,98984144,3,230.005,113,20,40.0,1,11,249.4776433555592,spruce,19,13.888003154554902,8.283585390538054,2114,50.80159866563878,50.80159866563878,0,0,0,0,0,none
