plot_id,tree_id,tree_sp,dbh,height,diameter_class,tree_Factor,SI_spp,SI_m,n_tree,species,Period,coord_x,coord_y,year,volsum,vol_spruce,vol_pine,vol_birch,vol_others,vol_ROS,vol_warm,management
A94962,7009961,10,50.0,45.43621363146528,5,40.0,2,11,40.0,scots_pine,0,16.014891373510732,19.36523151438795,2016,0.14274207495154775,0.0,0.14274207495154775,0.0,0.0,0.0,0.0,none
A94962,7009961,10,64.0,58,5,40.0,2,11,38.201772246795564,scots_pine,1,16.014891373510732,19.36523151438795,2021,0.4652405375785959,0,0.4652405375785959,0,0,0,0,none
A94962,7009961,10,78.0,68,5,40.0,2,11,36.763200157241386,scots_pine,2,16.014891373510732,19.36523151438795,2026,0.7008758739461479,0,0.7008758739461479,0,0,0,0,none
A94962,7009961,10,92.0,77,5,40.0,2,11,35.55691382180823,scots_pine,3,16.014891373510732,19.36523151438795,2031,1.009183583265485,0,1.009183583265485,0,0,0,0,none
A94962,7009961,10,106.0,85,10,40.0,2,11,34.49271540775738,scots_pine,4,16.014891373510732,19.36523151438795,2036,1.3891329674658979,0,1.3891329674658979,0,0,0,0,none
A94962,7009961,10,120.0,93,10,40.0,2,11,33.52559411755191,scots_pine,5,16.014891373510732,19.36523151438795,2041,2.3903915429170843,0,2.3903915429170843,0,0,0,0,none
A94962,7009961,10,133.0,100,10,40.0,2,11,32.625752835622855,scots_pine,6,16.014891373510732,19.36523151438795,2046,2.8741596557223157,0,2.8741596557223157,0,0,0,0,none
A94962,7009961,10,146.0,107,10,40.0,2,11,31.77256154166283,scots_pine,7,16.014891373510732,19.36523151438795,2051,3.4233201650585277,0,3.4233201650585277,0,0,0,0,none
A94962,7009961,10,159.0,113,15,40.0,2,11,0.0,scots_pine,8,16.014891373510732,19.36523151438795,2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,seed tree cut
A94962,7634380,10,50.002,45.64159938222488,5,40.0,2,11,413.33333333333337,scots_pine,1,19.15779060301004,10.663305699460341,2021,3.043083882799793,0,3.043083882799793,0,0,0,0,none
A94962,7634380,10,64.00200000000001,54,5,40.0,2,11,392.1184022194065,scots_pine,2,19.15779060301004,10.663305699460341,2026,4.530956619158606,0,4.530956619158606,0,0,0,0,none
A94962,7634380,10,78.00200000000001,63,5,40.0,2,11,374.7581648511718,scots_pine,3,19.15779060301004,10.663305699460341,2031,6.709858970838226,0,6.709858970838226,0,0,0,0,none
A94962,7634380,10,91.00200000000001,71,5,40.0,2,11,359.78961703184433,scots_pine,4,19.15779060301004,10.663305699460341,2036,9.32832274759135,0,9.32832274759135,0,0,0,0,none
A94962,7634380,10,104.00200000000001,79,10,40.0,2,11,346.21272534881365,scots_pine,5,19.15779060301004,10.663305699460341,2041,12.594770654501207,0,12.594770654501207,0,0,0,0,none
A94962,7634380,10,116.00200000000001,87,10,40.0,2,11,333.6296024532397,scots_pine,6,19.15779060301004,10.663305699460341,2046,21.571084448081983,0,21.571084448081983,0,0,0,0,none
A94962,7634380,10,128.002,94,10,40.0,2,11,321.74912492963136,scots_pine,7,19.15779060301004,10.663305699460341,2051,25.505016122231428,0,25.505016122231428,0,0,0,0,none
A94962,7634380,10,140.002,101,10,40.0,2,11,0.0,scots_pine,8,19.15779060301004,10.663305699460341,2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,seed tree cut
A94962,0464349,10,50.003,45.438806155676346,5,40.0,2,11,413.33333333333337,scots_pine,1,13.730018553631673,16.692513437947458,2021,3.035193013459376,0,3.035193013459376,0,0,0,0,none
A94962,0464349,10,64.003,55,5,40.0,2,11,391.61533561342287,scots_pine,2,13.730018553631673,16.692513437947458,2026,4.586428658639167,0,4.586428658639167,0,0,0,0,none
A94962,0464349,10,78.003,65,5,40.0,2,11,373.78891208509674,scots_pine,3,13.730018553631673,16.692513437947458,2031,6.866424194036942,0,6.866424194036942,0,0,0,0,none
A94962,0464349,10,91.003,74,5,40.0,2,11,358.42028102097373,scots_pine,4,13.730018553631673,16.692513437947458,2036,9.63366278653808,0,9.63366278653808,0,0,0,0,none
A94962,0464349,10,104.003,83,10,40.0,2,11,344.45849039809735,scots_pine,5,13.730018553631673,16.692513437947458,2041,13.101902017445292,0,13.101902017445292,0,0,0,0,none
A94962,0464349,10,116.003,91,10,40.0,2,11,331.54543868265944,scots_pine,6,13.730018553631673,16.692513437947458,2046,22.132672310699466,0,22.132672310699466,0,0,0,0,none
A94962,0464349,10,128.003,99,10,40.0,2,11,319.34858061784365,scots_pine,7,13.730018553631673,16.692513437947458,2051,26.300726101126486,0,26.300726101126486,0,0,0,0,none
A94962,0464349,10,139.003,106,10,40.0,2,11,0.0,scots_pine,8,13.730018553631673,16.692513437947458,2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,seed tree cut
A94962,9845737,10,50.004,45.59787348269925,5,40.0,2,11,413.33333333333337,scots_pine,1,2.0645201315528405,8.957870523518103,2021,3.041515517179129,0,3.041515517179129,0,0,0,0,none
A94962,9845737,10,63.004,55,5,40.0,2,11,391.10288072553146,scots_pine,2,2.0645201315528405,8.957870523518103,2026,4.472561953902117,0,4.472561953902117,0,0,0,0,none
A94962,9845737,10,76.00399999999999,64,5,40.0,2,11,372.40509126172725,scots_pine,3,2.0645201315528405,8.957870523518103,2031,6.464340333757154,0,6.464340333757154,0,0,0,0,none
A94962,9845737,10,89.00399999999999,72,5,40.0,2,11,355.98191838034757,scots_pine,4,2.0645201315528405,8.957870523518103,2036,8.977801537878767,0,8.977801537878767,0,0,0,0,none
A94962,9845737,10,101.00399999999999,80,10,40.0,2,11,341.09137857759754,scots_pine,5,2.0645201315528405,8.957870523518103,2041,11.886263149501938,0,11.886263149501938,0,0,0,0,none
A94962,9845737,10,112.00399999999999,88,10,40.0,2,11,327.1286914645626,scots_pine,6,2.0645201315528405,8.957870523518103,2046,20.26478500735388,0,20.26478500735388,0,0,0,0,none
A94962,9845737,10,123.00399999999999,95,10,40.0,2,11,313.75237655339583,scots_pine,7,2.0645201315528405,8.957870523518103,2051,23.581719146933654,0,23.581719146933654,0,0,0,0,none
A94962,9845737,10,133.004,102,10,40.0,2,11,0.0,scots_pine,8,2.0645201315528405,8.957870523518103,2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,seed tree cut
A94962,5506144,10,50.005,45.64573489986297,5,40.0,2,11,280.0,scots_pine,2,13.888003154554902,8.283585390538054,2026,2.0617053884814007,0,2.0617053884814007,0,0,0,0,none
A94962,5506144,10,62.005,53,5,40.0,2,11,261.8162814867721,scots_pine,3,13.888003154554902,8.283585390538054,2031,2.8463226559765773,0,2.8463226559765773,0,0,0,0,none
A94962,5506144,10,73.005,60,5,40.0,2,11,245.89549555519514,scots_pine,4,13.888003154554902,8.283585390538054,2036,3.790429619118157,0,3.790429619118157,0,0,0,0,none
A94962,5506144,10,84.005,66,5,40.0,2,11,231.2764245110481,scots_pine,5,13.888003154554902,8.283585390538054,2041,4.8892155606929455,0,4.8892155606929455,0,0,0,0,none
A94962,5506144,10,94.005,72,5,40.0,2,11,217.72726701953067,scots_pine,6,13.888003154554902,8.283585390538054,2046,6.058696985766847,0,6.058696985766847,0,0,0,0,none
A94962,5506144,10,103.005,78,10,40.0,2,11,204.87790813608243,scots_pine,7,13.888003154554902,8.283585390538054,2051,7.237664016258647,0,7.237664016258647,0,0,0,0,none
A94962,5506144,10,112.005,83,10,40.0,2,11,0.0,scots_pine,8,13.888003154554902,8.283585390538054,2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,seed tree cut
A94962,6428215,10,50.006,45.61331740337178,5,40.0,2,11,280.0,scots_pine,2,13.275892904395777,10.297782241166171,2026,2.060893293478137,0,2.060893293478137,0,0,0,0,none
A94962,6428215,10,62.006,52,5,40.0,2,11,261.59030963357503,scots_pine,3,13.275892904395777,10.297782241166171,2031,2.805568199809716,0,2.805568199809716,0,0,0,0,none
A94962,6428215,10,73.006,59,5,40.0,2,11,245.48630254299366,scots_pine,4,13.275892904395777,10.297782241166171,2036,3.7342052187802754,0,3.7342052187802754,0,0,0,0,none
A94962,6428215,10,84.006,65,5,40.0,2,11,230.70003954054243,scots_pine,5,13.275892904395777,10.297782241166171,2041,4.814789440628969,0,4.814789440628969,0,0,0,0,none
A94962,6428215,10,94.006,71,5,40.0,2,11,217.02355690196185,scots_pine,6,13.275892904395777,10.297782241166171,2046,5.965710920938823,0,5.965710920938823,0,0,0,0,none
A94962,6428215,10,103.006,77,10,40.0,2,11,204.08535229699825,scots_pine,7,13.275892904395777,10.297782241166171,2051,7.126747592287734,0,7.126747592287734,0,0,0,0,none
A94962,6428215,10,112.006,82,10,40.0,2,11,0.0,scots_pine,8,13.275892904395777,10.297782241166171,2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,seed tree cut
A94962,7311725,10,50.007,45.4735772533151,5,40.0,2,11,280.0,scots_pine,2,18.06803830575767,2.7494940829247505,2026,2.0572249532998654,0,2.0572249532998654,0,0,0,0,none
A94962,7311725,10,62.007,52,5,40.0,2,11,261.3623790624897,scots_pine,3,18.06803830575767,2.7494940829247505,2031,2.803190270370169,0,2.803190270370169,0,0,0,0,none
A94962,7311725,10,73.007,58,5,40.0,2,11,245.07420161632405,scots_pine,4,18.06803830575767,2.7494940829247505,2036,3.6780617472327415,0,3.6780617472327415,0,0,0,0,none
A94962,7311725,10,83.007,64,5,40.0,2,11,230.12035889727176,scots_pine,5,18.06803830575767,2.7494940829247505,2041,4.643215031942202,0,4.643215031942202,0,0,0,0,none
A94962,7311725,10,93.007,70,5,40.0,2,11,216.03945808642968,scots_pine,6,18.06803830575767,2.7494940829247505,2046,5.753585853592165,0,5.753585853592165,0,0,0,0,none
